id,title,category_id,seller_id,start_price,bid_step,buy_now_price,current_price,highest_bidder_id,auction_type,status,description,end_time,auto_extend,created_at
00436ff2-35da-4128-95c6-b51528ed5a43,Adjustable Dumbbell Set 24kg,21,6ae7fa67-377a-4bba-8676-029d005e2bc1,2749,16,,2845,b921a687-1b4f-43a3-9fb6-ad8233b1e9ed,traditional,active,Compact adjustable dumbbell system allowing fast weight changes for different training levels. Anti-slip handle and durable steel plates support daily strength workouts efficiently.,2028-09-04 00:00:00,false,2025-12-09 00:00:00
0058b78a-1c50-4955-8cab-e528592123d6,Cast Iron Kettlebell 12kg,21,2cb7600f-ec9f-4ae5-bf0f-37e01d46fe9f,3109,156,,4201,639f899b-a662-4a29-841e-bb2e7bb1ea8f,traditional,sold,"High-quality cast iron design with wide grip for stability. Ideal for full-body workouts including swings, squats, and power movements.",2047-11-01 00:00:00,true,2025-12-06 00:00:00
00efa492-be06-4517-bdc1-fef198c8ac2b,18K Gold Diamond Ring,16,f40d4396-134a-4c0d-b619-4f2c6a7e27a5,3431,98,,4215,11393531-e33a-4a41-a5d9-518cd668ba71,traditional,active,"Crafted from genuine 18K gold and set with a brilliant-cut diamond that captures light from every angle. A stunning symbol of elegance and everlasting love, perfect for engagements and special moments.",2045-02-04 00:00:00,false,2025-12-06 00:00:00
01a107c6-b1eb-46a3-a620-ed00afbdc10e,Yamaha R1,19,6ae7fa67-377a-4bba-8676-029d005e2bc1,1825,80,6825,2545,79929588-7af9-4046-a39a-52feee2415e4,buy_now,active,Superbike inspired by MotoGP racing technology. Powerful inline-four engine with cutting-edge aerodynamics delivers exceptional track performance and aggressive street presence.,2036-11-18 00:00:00,false,2025-12-06 00:00:00
03be23f6-f7e5-47b0-a489-f53bc0947334,iPhone 17 Pro Max 256GB,9,a6d4cf56-3f54-4d80-b1d7-8dd9b489a439,1381,119,6381,2214,0ebb62af-f47d-4c9f-a3ac-f41834e0a2b9,buy_now,active,"Apple’s newest flagship featuring aerospace-grade titanium and an advanced ProMotion XDR display that delivers ultra-smooth visuals in any environment. Powered by the lightning-fast A19 Fusion chip with next-gen AI processing for unmatched performance. The quad-camera system captures stunning 8K videos and exceptional night photos. With strong battery life, MagSafe support, and refined build quality, this device is engineered for premium everyday use.",2028-09-03 00:00:00,false,2025-12-08 00:00:00
042f817a-9a18-49bd-a129-b12943582863,Canon EOS R6 Mark II,11,f40d4396-134a-4c0d-b619-4f2c6a7e27a5,4320,140,,5160,639f899b-a662-4a29-841e-bb2e7bb1ea8f,traditional,active,A high-performance full-frame mirrorless camera designed for hybrid shooters. Fast autofocus and exceptional low-light capability ensure crisp images in any condition. 4K 60fps video and advanced stabilization make it perfect for creators and wedding photographers seeking both speed and quality.,2028-09-04 00:00:00,true,2025-12-09 00:00:00
062ec88c-253d-4e0e-8a78-6cfa75db21d4,Rolex Submariner Date,14,6ae7fa67-377a-4bba-8676-029d005e2bc1,1683,180,,2763,b921a687-1b4f-43a3-9fb6-ad8233b1e9ed,traditional,active,"An iconic luxury diver watch with exceptional durability and timeless sophistication. Features a scratch-resistant ceramic bezel, COSC-certified automatic movement, and 300m water resistance. A prestigious status symbol beloved by collectors worldwide.",2053-04-22 00:00:00,false,2025-12-05 00:00:00
0670b1e7-d559-4168-9313-a2dbf771b0b2,Luxury Leather Jacket,12,03d30abe-7acd-49da-a689-8171fec6fa4c,1761,55,,2146,b921a687-1b4f-43a3-9fb6-ad8233b1e9ed,traditional,active,"A premium full-grain leather jacket handcrafted for durability and timeless style. Soft inner lining delivers comfort while maintaining rugged appeal. Perfect for both casual and evening outfits, making this a staple piece in any men’s wardrobe.",2050-07-29 00:00:00,false,2025-12-07 00:00:00
07076644-341d-4129-9645-d6555f955166,Elegant Silk Dress,13,03d30abe-7acd-49da-a689-8171fec6fa4c,4027,194,,5967,11393531-e33a-4a41-a5d9-518cd668ba71,traditional,active,"A luxurious silk dress designed with a smooth, lightweight finish that drapes beautifully. Perfect for evening events, date nights, and special occasions. Soft and breathable fabric ensures premium comfort and confidence.",2053-04-23 00:00:00,false,2025-12-06 00:00:00
082e107f-2e5e-44dd-87f1-3f86dd1423ce,Rolex Daytona Chronograph,14,73522f6e-93c0-4066-857c-03ac111f0132,4157,78,,4625,d3a5488c-25f9-4dad-93b7-df54b25937b8,traditional,active,"A legendary racing-inspired chronograph known for precision and exclusivity. Crafted using premium Oystersteel with an in-house automatic movement. A true grail piece representing performance, heritage, and luxury.",2042-05-12 00:00:00,true,2025-12-07 00:00:00
0835d9c7-1090-4ec2-ad68-066ea3899e17,Rolex Datejust 41,14,03d30abe-7acd-49da-a689-8171fec6fa4c,4813,124,,5557,2cbb0044-f5b8-49fd-929b-9d2ef0526033,traditional,active,"A refined timepiece showcasing elegance and everyday versatility. The fluted bezel, jubilee bracelet, and iconic cyclops date lens elevate both style and function. A perfect luxury companion for any occasion.",2045-02-04 00:00:00,true,2025-12-06 00:00:00
08bc0dac-a0b6-4730-9816-da45368d9de9,iPhone 17 Pro Max 512GB,9,73522f6e-93c0-4066-857c-03ac111f0132,3677,163,,4655,a155ec1d-c375-47e3-865a-e154f17a3ced,traditional,active,"A premium powerhouse designed for creators who demand extraordinary storage and speed. Equipped with 512GB of space for 8K videos, thousands of photos, and professional-grade apps. Featuring an ultra-bright ProMotion XDR display, A19 Fusion performance, and a camera system that captures lifelike details with incredible clarity. A masterpiece of design and engineering built for long-term reliability.",2034-02-22 00:00:00,true,2025-12-06 00:00:00
08c608fb-a738-4f02-bd03-8a7da6dd49bf,Toyota Camry 2024,20,f40d4396-134a-4c0d-b619-4f2c6a7e27a5,850,179,,1924,11c14be1-13ce-48a1-bd33-0830cca9c4da,traditional,active,"A refined midsize sedan known for comfort, fuel efficiency, and long-term durability. Spacious cabin with modern safety technology, ideal for family and business use.",2028-09-02 00:00:00,true,2025-12-07 00:00:00
08e02752-ab7a-4858-bbcb-eb316c2c5a6e,Resistance Band Set,21,03d30abe-7acd-49da-a689-8171fec6fa4c,4191,164,,4691,19bbe416-4c3e-4fc7-a43d-a3348f55a09e,traditional,active,"Multi-level resistance bands perfect for stretching, strength training, and rehabilitation. Lightweight and easy to bring anywhere for flexible home workouts.",2031-05-29 00:00:00,false,2025-12-06 00:00:00
099716d9-56d3-42f1-98c5-fabd8ef8afed,24K Pure Gold Bracelet,16,73522f6e-93c0-4066-857c-03ac111f0132,817,91,,1363,153ff855-cd4e-41f7-9232-d0d2c3a514a4,traditional,active,"Luxurious 24K pure gold bracelet designed with a polished finish for maximum shine. A premium investment piece that reflects wealth, status, and timeless craftsmanship.",2028-09-03 00:00:00,false,2025-12-08 00:00:00
